id_cliente,calificacion,texto_de_review,opinion
1,1,very disappointed with the quality.,0
2,5,fast delivery and great packaging.,1
3,1,very disappointed with the quality.,0
4,2,product stopped working after few days.,0
5,3,neutral about the quality.,0
6,5,"amazing experience, highly recommend!",1
7,4,great value for money.,1
8,5,excellent product! exceeded expectations.,1
9,3,"product is okay, nothing special.",0
10,5,great value for money.,1
11,2,not worth the price.,0
12,1,very disappointed with the quality.,0
13,5,"amazing experience, highly recommend!",1
14,4,"amazing experience, highly recommend!",1
15,1,customer service was unhelpful.,0
16,2,product stopped working after few days.,0
17,1,late delivery and poor packaging.,0
18,3,neutral about the quality.,0
19,4,excellent product! exceeded expectations.,1
20,1,late delivery and poor packaging.,0
21,5,"amazing experience, highly recommend!",1
22,5,excellent product! exceeded expectations.,1
23,4,"amazing experience, highly recommend!",1
24,2,customer service was unhelpful.,0
25,2,very disappointed with the quality.,0
26,5,"amazing experience, highly recommend!",1
27,3,average experience overall.,0
28,1,product stopped working after few days.,0
29,3,works fine but could be better.,0
30,4,fast delivery and great packaging.,1
31,4,great value for money.,1
32,4,"amazing experience, highly recommend!",1
33,4,fast delivery and great packaging.,1
34,2,product stopped working after few days.,0
35,3,works fine but could be better.,0
36,3,neutral about the quality.,0
37,5,"amazing experience, highly recommend!",1
38,2,customer service was unhelpful.,0
39,2,not worth the price.,0
40,2,product stopped working after few days.,0
41,2,not worth the price.,0
42,4,"amazing experience, highly recommend!",1
43,3,works fine but could be better.,0
44,4,fast delivery and great packaging.,1
45,1,not worth the price.,0
46,4,excellent product! exceeded expectations.,1
47,5,excellent product! exceeded expectations.,1
48,5,"amazing experience, highly recommend!",1
49,3,average experience overall.,0
50,4,fast delivery and great packaging.,1
51,4,"amazing experience, highly recommend!",1
52,2,product stopped working after few days.,0
53,2,late delivery and poor packaging.,0
54,5,fast delivery and great packaging.,1
55,5,excellent product! exceeded expectations.,1
56,5,"amazing experience, highly recommend!",1
57,5,very satisfied with the quality.,1
58,3,"product is okay, nothing special.",0
59,2,product stopped working after few days.,0
60,5,excellent product! exceeded expectations.,1
61,3,"product is okay, nothing special.",0
62,5,"amazing experience, highly recommend!",1
63,4,great value for money.,1
64,4,fast delivery and great packaging.,1
65,4,excellent product! exceeded expectations.,1
66,5,fast delivery and great packaging.,1
67,1,customer service was unhelpful.,0
68,1,product stopped working after few days.,0
69,2,late delivery and poor packaging.,0
70,2,not worth the price.,0
71,3,works fine but could be better.,0
72,1,late delivery and poor packaging.,0
73,3,works fine but could be better.,0
74,1,not worth the price.,0
75,4,great value for money.,1
76,4,"amazing experience, highly recommend!",1
77,5,very satisfied with the quality.,1
78,2,customer service was unhelpful.,0
79,1,very disappointed with the quality.,0
80,2,very disappointed with the quality.,0
81,4,very satisfied with the quality.,1
82,3,"delivery was fine, product is decent.",0
83,2,customer service was unhelpful.,0
84,1,very disappointed with the quality.,0
85,1,late delivery and poor packaging.,0
86,5,very satisfied with the quality.,1
87,5,very satisfied with the quality.,1
88,5,great value for money.,1
89,3,average experience overall.,0
90,1,not worth the price.,0
91,4,"amazing experience, highly recommend!",1
92,3,average experience overall.,0
93,4,excellent product! exceeded expectations.,1
94,3,"delivery was fine, product is decent.",0
95,2,customer service was unhelpful.,0
96,4,fast delivery and great packaging.,1
97,5,fast delivery and great packaging.,1
98,2,very disappointed with the quality.,0
99,2,product stopped working after few days.,0
100,1,product stopped working after few days.,0
101,4,"amazing experience, highly recommend!",1
102,1,customer service was unhelpful.,0
103,4,fast delivery and great packaging.,1
104,4,very satisfied with the quality.,1
105,2,product stopped working after few days.,0
106,3,works fine but could be better.,0
107,2,late delivery and poor packaging.,0
108,4,excellent product! exceeded expectations.,1
109,1,late delivery and poor packaging.,0
110,3,"product is okay, nothing special.",0
111,3,"product is okay, nothing special.",0
112,4,"amazing experience, highly recommend!",1
113,5,"amazing experience, highly recommend!",1
114,4,very satisfied with the quality.,1
115,2,late delivery and poor packaging.,0
116,2,not worth the price.,0
117,3,"product is okay, nothing special.",0
118,4,great value for money.,1
119,2,product stopped working after few days.,0
120,2,late delivery and poor packaging.,0
121,4,fast delivery and great packaging.,1
122,1,not worth the price.,0
123,5,great value for money.,1
124,5,very satisfied with the quality.,1
125,1,very disappointed with the quality.,0
126,4,fast delivery and great packaging.,1
127,3,neutral about the quality.,0
128,4,very satisfied with the quality.,1
129,4,great value for money.,1
130,2,very disappointed with the quality.,0
131,5,very satisfied with the quality.,1
132,4,excellent product! exceeded expectations.,1
133,4,fast delivery and great packaging.,1
134,2,customer service was unhelpful.,0
135,2,product stopped working after few days.,0
136,2,product stopped working after few days.,0
137,2,late delivery and poor packaging.,0
138,2,very disappointed with the quality.,0
139,4,great value for money.,1
140,4,great value for money.,1
141,2,customer service was unhelpful.,0
142,2,product stopped working after few days.,0
143,4,"amazing experience, highly recommend!",1
144,1,late delivery and poor packaging.,0
145,3,"product is okay, nothing special.",0
146,2,late delivery and poor packaging.,0
147,3,"delivery was fine, product is decent.",0
148,3,neutral about the quality.,0
149,1,very disappointed with the quality.,0
150,2,late delivery and poor packaging.,0
151,3,neutral about the quality.,0
152,4,great value for money.,1
153,5,fast delivery and great packaging.,1
154,1,customer service was unhelpful.,0
155,4,"amazing experience, highly recommend!",1
156,4,"amazing experience, highly recommend!",1
157,1,product stopped working after few days.,0
158,2,very disappointed with the quality.,0
159,1,product stopped working after few days.,0
160,1,late delivery and poor packaging.,0
161,2,not worth the price.,0
162,2,customer service was unhelpful.,0
163,4,great value for money.,1
164,1,product stopped working after few days.,0
165,1,very disappointed with the quality.,0
166,5,fast delivery and great packaging.,1
167,3,"delivery was fine, product is decent.",0
168,2,very disappointed with the quality.,0
169,5,"amazing experience, highly recommend!",1
170,5,fast delivery and great packaging.,1
171,1,customer service was unhelpful.,0
172,2,very disappointed with the quality.,0
173,3,"product is okay, nothing special.",0
174,1,customer service was unhelpful.,0
175,4,fast delivery and great packaging.,1
176,1,late delivery and poor packaging.,0
177,5,"amazing experience, highly recommend!",1
178,2,not worth the price.,0
179,3,neutral about the quality.,0
180,5,very satisfied with the quality.,1
181,3,neutral about the quality.,0
182,3,"delivery was fine, product is decent.",0
183,5,great value for money.,1
184,4,"amazing experience, highly recommend!",1
185,3,neutral about the quality.,0
186,3,"product is okay, nothing special.",0
187,4,"amazing experience, highly recommend!",1
188,2,customer service was unhelpful.,0
189,1,very disappointed with the quality.,0
190,4,excellent product! exceeded expectations.,1
191,4,"amazing experience, highly recommend!",1
192,3,average experience overall.,0
193,2,not worth the price.,0
194,1,customer service was unhelpful.,0
195,1,customer service was unhelpful.,0
196,3,"product is okay, nothing special.",0
197,1,very disappointed with the quality.,0
198,4,very satisfied with the quality.,1
199,1,product stopped working after few days.,0
200,2,product stopped working after few days.,0
201,5,"amazing experience, highly recommend!",1
202,2,not worth the price.,0
203,3,average experience overall.,0
204,4,excellent product! exceeded expectations.,1
205,1,late delivery and poor packaging.,0
206,2,customer service was unhelpful.,0
207,3,average experience overall.,0
208,2,product stopped working after few days.,0
209,5,excellent product! exceeded expectations.,1
210,4,"amazing experience, highly recommend!",1
211,1,customer service was unhelpful.,0
212,5,excellent product! exceeded expectations.,1
213,2,not worth the price.,0
214,1,very disappointed with the quality.,0
215,4,"amazing experience, highly recommend!",1
216,2,not worth the price.,0
217,1,very disappointed with the quality.,0
218,1,not worth the price.,0
219,4,fast delivery and great packaging.,1
220,3,"product is okay, nothing special.",0
221,3,"delivery was fine, product is decent.",0
222,2,not worth the price.,0
223,2,late delivery and poor packaging.,0
224,5,"amazing experience, highly recommend!",1
225,3,neutral about the quality.,0
226,5,excellent product! exceeded expectations.,1
227,3,"delivery was fine, product is decent.",0
228,1,late delivery and poor packaging.,0
229,3,"product is okay, nothing special.",0
230,5,great value for money.,1
231,1,very disappointed with the quality.,0
232,2,late delivery and poor packaging.,0
233,3,"delivery was fine, product is decent.",0
234,2,late delivery and poor packaging.,0
235,4,"amazing experience, highly recommend!",1
236,5,great value for money.,1
237,4,excellent product! exceeded expectations.,1
238,2,late delivery and poor packaging.,0
239,5,excellent product! exceeded expectations.,1
240,1,not worth the price.,0
241,4,very satisfied with the quality.,1
242,1,product stopped working after few days.,0
243,1,customer service was unhelpful.,0
244,2,product stopped working after few days.,0
245,1,not worth the price.,0
246,5,fast delivery and great packaging.,1
247,4,"amazing experience, highly recommend!",1
248,1,customer service was unhelpful.,0
249,4,great value for money.,1
250,1,customer service was unhelpful.,0
251,4,very satisfied with the quality.,1
252,5,"amazing experience, highly recommend!",1
253,1,not worth the price.,0
254,3,neutral about the quality.,0
255,4,"amazing experience, highly recommend!",1
256,5,very satisfied with the quality.,1
257,4,excellent product! exceeded expectations.,1
258,2,late delivery and poor packaging.,0
259,1,late delivery and poor packaging.,0
260,3,neutral about the quality.,0
261,3,"delivery was fine, product is decent.",0
262,5,very satisfied with the quality.,1
263,3,"product is okay, nothing special.",0
264,5,"amazing experience, highly recommend!",1
265,3,"product is okay, nothing special.",0
266,1,very disappointed with the quality.,0
267,1,customer service was unhelpful.,0
268,4,very satisfied with the quality.,1
269,1,not worth the price.,0
270,3,neutral about the quality.,0
271,4,excellent product! exceeded expectations.,1
272,1,product stopped working after few days.,0
273,1,not worth the price.,0
274,1,customer service was unhelpful.,0
275,2,customer service was unhelpful.,0
276,3,"product is okay, nothing special.",0
277,3,neutral about the quality.,0
278,1,not worth the price.,0
279,3,neutral about the quality.,0
280,5,great value for money.,1
281,2,very disappointed with the quality.,0
282,2,not worth the price.,0
283,1,late delivery and poor packaging.,0
284,3,"delivery was fine, product is decent.",0
285,1,late delivery and poor packaging.,0
286,4,excellent product! exceeded expectations.,1
287,3,works fine but could be better.,0
288,3,works fine but could be better.,0
289,1,product stopped working after few days.,0
290,2,customer service was unhelpful.,0
291,3,works fine but could be better.,0
292,4,excellent product! exceeded expectations.,1
293,5,"amazing experience, highly recommend!",1
294,1,product stopped working after few days.,0
295,5,great value for money.,1
296,3,average experience overall.,0
297,3,"delivery was fine, product is decent.",0
298,5,great value for money.,1
299,2,very disappointed with the quality.,0
300,4,"amazing experience, highly recommend!",1
301,3,"product is okay, nothing special.",0
302,2,late delivery and poor packaging.,0
303,2,product stopped working after few days.,0
304,5,great value for money.,1
305,4,great value for money.,1
306,5,great value for money.,1
307,4,great value for money.,1
308,2,very disappointed with the quality.,0
309,5,great value for money.,1
310,5,fast delivery and great packaging.,1
311,4,fast delivery and great packaging.,1
312,3,works fine but could be better.,0
313,3,"product is okay, nothing special.",0
314,5,fast delivery and great packaging.,1
315,2,late delivery and poor packaging.,0
316,3,average experience overall.,0
317,5,great value for money.,1
318,1,late delivery and poor packaging.,0
319,3,"delivery was fine, product is decent.",0
320,1,late delivery and poor packaging.,0
321,5,"amazing experience, highly recommend!",1
322,3,"product is okay, nothing special.",0
323,3,"delivery was fine, product is decent.",0
324,1,late delivery and poor packaging.,0
325,1,product stopped working after few days.,0
326,4,great value for money.,1
327,5,great value for money.,1
328,2,product stopped working after few days.,0
329,4,excellent product! exceeded expectations.,1
330,1,late delivery and poor packaging.,0
331,1,customer service was unhelpful.,0
332,4,excellent product! exceeded expectations.,1
333,2,late delivery and poor packaging.,0
334,4,great value for money.,1
335,4,great value for money.,1
336,1,customer service was unhelpful.,0
337,4,"amazing experience, highly recommend!",1
338,1,customer service was unhelpful.,0
339,3,average experience overall.,0
340,4,"amazing experience, highly recommend!",1
341,3,"product is okay, nothing special.",0
342,1,very disappointed with the quality.,0
343,4,very satisfied with the quality.,1
344,1,late delivery and poor packaging.,0
345,5,fast delivery and great packaging.,1
346,5,great value for money.,1
347,5,very satisfied with the quality.,1
348,2,product stopped working after few days.,0
349,1,very disappointed with the quality.,0
350,5,excellent product! exceeded expectations.,1
351,4,excellent product! exceeded expectations.,1
352,3,neutral about the quality.,0
353,2,late delivery and poor packaging.,0
354,5,fast delivery and great packaging.,1
355,2,late delivery and poor packaging.,0
356,3,"delivery was fine, product is decent.",0
357,4,very satisfied with the quality.,1
358,4,excellent product! exceeded expectations.,1
359,2,customer service was unhelpful.,0
360,5,excellent product! exceeded expectations.,1
361,3,neutral about the quality.,0
362,2,very disappointed with the quality.,0
363,1,very disappointed with the quality.,0
364,1,late delivery and poor packaging.,0
365,1,late delivery and poor packaging.,0
366,3,neutral about the quality.,0
367,5,excellent product! exceeded expectations.,1
368,4,fast delivery and great packaging.,1
369,1,customer service was unhelpful.,0
370,3,neutral about the quality.,0
