customer_id,customer_rating,review_text,sentiment
1,1,very disappointed with the quality.,negative
2,5,fast delivery and great packaging.,positive
3,1,very disappointed with the quality.,negative
4,2,product stopped working after few days.,negative
5,3,neutral about the quality.,neutral
6,5,"amazing experience, highly recommend!",positive
7,4,great value for money.,positive
8,5,excellent product! exceeded expectations.,positive
9,3,"product is okay, nothing special.",neutral
10,5,great value for money.,positive
11,2,not worth the price.,negative
12,1,very disappointed with the quality.,negative
13,5,"amazing experience, highly recommend!",positive
14,4,"amazing experience, highly recommend!",positive
15,1,customer service was unhelpful.,negative
16,2,product stopped working after few days.,negative
17,1,late delivery and poor packaging.,negative
18,3,neutral about the quality.,neutral
19,4,excellent product! exceeded expectations.,positive
20,1,late delivery and poor packaging.,negative
21,5,"amazing experience, highly recommend!",positive
22,5,excellent product! exceeded expectations.,positive
23,4,"amazing experience, highly recommend!",positive
24,2,customer service was unhelpful.,negative
25,2,very disappointed with the quality.,negative
26,5,"amazing experience, highly recommend!",positive
27,3,average experience overall.,neutral
28,1,product stopped working after few days.,negative
29,3,works fine but could be better.,neutral
30,4,fast delivery and great packaging.,positive
31,4,great value for money.,positive
32,4,"amazing experience, highly recommend!",positive
33,4,fast delivery and great packaging.,positive
34,2,product stopped working after few days.,negative
35,3,works fine but could be better.,neutral
36,3,neutral about the quality.,neutral
37,5,"amazing experience, highly recommend!",positive
38,2,customer service was unhelpful.,negative
39,2,not worth the price.,negative
40,2,product stopped working after few days.,negative
41,2,not worth the price.,negative
42,4,"amazing experience, highly recommend!",positive
43,3,works fine but could be better.,neutral
44,4,fast delivery and great packaging.,positive
45,1,not worth the price.,negative
46,4,excellent product! exceeded expectations.,positive
47,5,excellent product! exceeded expectations.,positive
48,5,"amazing experience, highly recommend!",positive
49,3,average experience overall.,neutral
50,4,fast delivery and great packaging.,positive
51,4,"amazing experience, highly recommend!",positive
52,2,product stopped working after few days.,negative
53,2,late delivery and poor packaging.,negative
54,5,fast delivery and great packaging.,positive
55,5,excellent product! exceeded expectations.,positive
56,5,"amazing experience, highly recommend!",positive
57,5,very satisfied with the quality.,positive
58,3,"product is okay, nothing special.",neutral
59,2,product stopped working after few days.,negative
60,5,excellent product! exceeded expectations.,positive
61,3,"product is okay, nothing special.",neutral
62,5,"amazing experience, highly recommend!",positive
63,4,great value for money.,positive
64,4,fast delivery and great packaging.,positive
65,4,excellent product! exceeded expectations.,positive
66,5,fast delivery and great packaging.,positive
67,1,customer service was unhelpful.,negative
68,1,product stopped working after few days.,negative
69,2,late delivery and poor packaging.,negative
70,2,not worth the price.,negative
71,3,works fine but could be better.,neutral
72,1,late delivery and poor packaging.,negative
73,3,works fine but could be better.,neutral
74,1,not worth the price.,negative
75,4,great value for money.,positive
76,4,"amazing experience, highly recommend!",positive
77,5,very satisfied with the quality.,positive
