customer_id,gender,age_group,region,product_category,purchase_channel,platform,customer_rating,review_text,sentiment,response_time_hours,issue_resolved,complaint_registered,sentiment_label
1,male,60+,north,automobile,online,flipkart,1,very disappointed with the quality.,negative,46,yes,yes,0
2,other,46-60,central,books,online,swiggy instamart,5,fast delivery and great packaging.,positive,5,yes,no,1
3,female,36-45,east,sports,online,facebook marketplace,1,very disappointed with the quality.,negative,38,yes,yes,0
4,female,18-25,central,groceries,online,zepto,2,product stopped working after few days.,negative,16,yes,yes,0
6,other,26-35,central,sports,online,facebook marketplace,5,"amazing experience, highly recommend!",positive,10,yes,no,1
7,male,36-45,south,travel,online,amazon,4,great value for money.,positive,38,yes,no,1
8,other,60+,east,fashion,online,swiggy instamart,5,excellent product! exceeded expectations.,positive,53,no,no,1
10,male,36-45,east,beauty,online,croma,5,great value for money.,positive,56,no,no,1
11,female,26-35,south,beauty,online,zepto,2,not worth the price.,negative,69,no,yes,0
12,other,18-25,east,groceries,online,swiggy instamart,1,very disappointed with the quality.,negative,70,no,yes,0
13,other,46-60,central,fashion,online,facebook marketplace,5,"amazing experience, highly recommend!",positive,48,no,no,1
14,other,46-60,north,beauty,online,tata cliq,4,"amazing experience, highly recommend!",positive,55,no,no,1
15,other,60+,west,beauty,online,snapdeal,1,customer service was unhelpful.,negative,4,yes,yes,0
16,other,36-45,central,fashion,online,paytm mall,2,product stopped working after few days.,negative,56,no,yes,0
17,female,26-35,north,sports,online,tata cliq,1,late delivery and poor packaging.,negative,44,yes,yes,0
19,other,26-35,east,electronics,online,myntra,4,excellent product! exceeded expectations.,positive,61,no,no,1
20,female,46-60,west,electronics,online,facebook marketplace,1,late delivery and poor packaging.,negative,11,yes,yes,0
21,female,60+,south,sports,online,nykaa,5,"amazing experience, highly recommend!",positive,51,no,no,1
22,female,18-25,south,books,online,reliance digital,5,excellent product! exceeded expectations.,positive,31,yes,no,1
23,male,60+,south,electronics,online,zepto,4,"amazing experience, highly recommend!",positive,59,no,no,1
24,other,26-35,north,travel,online,meesho,2,customer service was unhelpful.,negative,8,yes,yes,0
25,other,36-45,east,beauty,online,nykaa,2,very disappointed with the quality.,negative,12,yes,yes,0
26,female,26-35,central,electronics,online,snapdeal,5,"amazing experience, highly recommend!",positive,61,no,no,1
28,other,46-60,north,groceries,online,amazon,1,product stopped working after few days.,negative,32,yes,yes,0
30,female,36-45,north,sports,online,facebook marketplace,4,fast delivery and great packaging.,positive,57,no,no,1
31,female,36-45,north,home & kitchen,online,shopclues,4,great value for money.,positive,36,yes,no,1
32,male,46-60,west,travel,online,ajio,4,"amazing experience, highly recommend!",positive,68,no,no,1
33,male,60+,south,home & kitchen,online,paytm mall,4,fast delivery and great packaging.,positive,64,no,no,1
34,female,36-45,west,books,online,facebook marketplace,2,product stopped working after few days.,negative,26,yes,yes,0
37,other,36-45,west,fashion,online,ajio,5,"amazing experience, highly recommend!",positive,15,yes,no,1
38,other,18-25,south,travel,online,bigbasket,2,customer service was unhelpful.,negative,18,yes,yes,0
39,male,26-35,north,sports,online,ajio,2,not worth the price.,negative,2,yes,yes,0
40,female,26-35,west,home & kitchen,online,croma,2,product stopped working after few days.,negative,53,no,yes,0
41,male,60+,west,fashion,online,croma,2,not worth the price.,negative,9,yes,yes,0
42,other,36-45,central,groceries,online,ajio,4,"amazing experience, highly recommend!",positive,18,yes,no,1
44,female,36-45,east,beauty,online,lenskart,4,fast delivery and great packaging.,positive,24,yes,no,1
45,male,36-45,west,electronics,online,tata cliq,1,not worth the price.,negative,57,no,yes,0
46,other,60+,west,books,online,bigbasket,4,excellent product! exceeded expectations.,positive,44,yes,no,1
47,female,46-60,west,home & kitchen,online,bigbasket,5,excellent product! exceeded expectations.,positive,6,yes,no,1
48,other,26-35,south,fashion,online,myntra,5,"amazing experience, highly recommend!",positive,32,yes,no,1
50,other,46-60,west,automobile,online,bigbasket,4,fast delivery and great packaging.,positive,16,yes,no,1
51,other,18-25,central,books,online,reliance digital,4,"amazing experience, highly recommend!",positive,9,yes,no,1
52,male,18-25,east,electronics,online,shopclues,2,product stopped working after few days.,negative,35,yes,yes,0
53,female,18-25,east,groceries,online,croma,2,late delivery and poor packaging.,negative,34,yes,yes,0
54,female,46-60,central,home & kitchen,online,flipkart,5,fast delivery and great packaging.,positive,32,yes,no,1
55,female,36-45,west,sports,online,reliance digital,5,excellent product! exceeded expectations.,positive,45,yes,no,1
56,male,18-25,west,travel,online,zepto,5,"amazing experience, highly recommend!",positive,47,yes,no,1
57,female,46-60,central,fashion,online,nykaa,5,very satisfied with the quality.,positive,25,yes,no,1
59,other,46-60,north,groceries,online,paytm mall,2,product stopped working after few days.,negative,61,no,yes,0
60,other,18-25,north,beauty,online,jiomart,5,excellent product! exceeded expectations.,positive,58,no,no,1
62,other,18-25,central,automobile,online,lenskart,5,"amazing experience, highly recommend!",positive,17,yes,no,1
63,female,36-45,central,electronics,online,snapdeal,4,great value for money.,positive,42,yes,no,1
64,other,36-45,north,groceries,online,paytm mall,4,fast delivery and great packaging.,positive,36,yes,no,1
65,female,26-35,north,automobile,online,paytm mall,4,excellent product! exceeded expectations.,positive,45,yes,no,1
66,male,26-35,west,electronics,online,snapdeal,5,fast delivery and great packaging.,positive,57,no,no,1
67,other,18-25,south,beauty,online,others,1,customer service was unhelpful.,negative,26,yes,yes,0
68,female,36-45,east,beauty,online,ajio,1,product stopped working after few days.,negative,20,yes,yes,0
69,male,46-60,north,electronics,online,lenskart,2,late delivery and poor packaging.,negative,1,yes,yes,0
70,female,26-35,north,travel,online,swiggy instamart,2,not worth the price.,negative,17,yes,yes,0
72,male,60+,west,home & kitchen,online,jiomart,1,late delivery and poor packaging.,negative,41,yes,yes,0
74,male,26-35,east,electronics,online,paytm mall,1,not worth the price.,negative,39,yes,yes,0
